id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
69,Kahdhoo,0,05:49,17:54,19:55,79%,29°C,cloudy,2.6 mm,NE 03 mph,-,2019-10-16 12:00:05,2019-10-16 12:00:05
70,Kahdhoo,0,05:49,17:54,20:42,96%,25°C,cloudy,2.6 mm,VARIABLE 01 mph,-,2019-10-17 00:00:05,2019-10-17 00:00:05
71,Kahdhoo,0,05:49,17:54,20:42,76%,30°C,fine,6.6 mm,SE 06 mph,-,2019-10-17 12:00:05,2019-10-17 12:00:05
72,Kahdhoo,0,05:49,17:54,21:33,83%,28°C,fine,6.6 mm,VARIABLE 02 mph,-,2019-10-18 00:00:06,2019-10-18 00:00:06
73,Kahdhoo,0,05:49,17:54,21:33,81%,29°C,cloudy,1.2 mm,E 05 mph,-,2019-10-18 12:00:11,2019-10-18 12:00:11
74,Kahdhoo,0,05:49,17:54,21:33,77%,28°C,fine,1.2 mm,E 03 mph,-,2019-10-19 00:00:04,2019-10-19 00:00:04
75,Kahdhoo,0,05:49,17:53,22:27,74%,29°C,cloudy,0.5 mm,SE 05 mph,-,2019-10-19 12:00:10,2019-10-19 12:00:10
76,Kahdhoo,0,05:48,17:53,23:23,85%,28°C,fine,0.5 mm,E 03 mph,-,2019-10-20 00:00:07,2019-10-20 00:00:07
77,Kahdhoo,0,05:48,17:53,23:23,84%,28°C,cloudy,5.2 mm,SSW 05 mph,-,2019-10-20 12:00:04,2019-10-20 12:00:04
78,Kahdhoo,0,05:48,17:53,23:23,96%,26°C,cloudy,5.2 mm,CALM,-,2019-10-21 00:00:10,2019-10-21 00:00:10
79,Kahdhoo,0,05:48,17:53,00:00,75%,30°C,partly cloudy,8.4 mm,SSE 03 mph,-,2019-10-21 12:00:10,2019-10-21 12:00:10
80,Kahdhoo,0,05:48,17:53,00:00,78%,28°C,partly cloudy,8.4 mm,SE 06 mph,-,2019-10-22 00:00:05,2019-10-22 00:00:05
81,Kahdhoo,0,05:48,17:53,00:21,70%,30°C,fine,NIL,SE 06 mph,-,2019-10-22 12:00:05,2019-10-22 12:00:05
82,Kahdhoo,0,05:48,17:52,01:18,79%,28°C,fine,NIL,SE 05 mph,-,2019-10-23 00:00:23,2019-10-23 00:00:23
83,Kahdhoo,0,05:48,17:52,01:18,71%,31°C,fine,NIL,SE 08 mph,-,2019-10-23 12:00:09,2019-10-23 12:00:09
84,Kahdhoo,0,05:48,17:52,02:14,82%,28°C,fine,NIL,SE 06 mph,-,2019-10-24 00:00:09,2019-10-24 00:00:09
85,Kahdhoo,0,05:48,17:52,02:14,94%,26°C,slight shower,TRACE,SE 11 mph,-,2019-10-24 12:00:05,2019-10-24 12:00:05
86,Kahdhoo,0,05:48,17:52,02:14,82%,28°C,cloudy,TRACE,SE 03 mph,-,2019-10-25 00:00:05,2019-10-25 00:00:05
87,Kahdhoo,0,05:48,17:52,03:09,77%,27°C,cloudy,6.4 mm,E 05 mph,-,2019-10-25 12:00:03,2019-10-25 12:00:03
88,Kahdhoo,0,05:48,17:52,03:09,82%,28°C,cloudy,6.4 mm,E 07 mph,-,2019-10-26 00:00:05,2019-10-26 00:00:05
89,Kahdhoo,0,05:48,17:52,04:04,76%,30°C,cloudy,2.8 mm,ESE 06 mph,-,2019-10-26 12:00:05,2019-10-26 12:00:05
90,Kahdhoo,0,05:48,17:52,04:04,84%,27°C,cloudy,2.8 mm,E 06 mph,-,2019-10-27 00:00:05,2019-10-27 00:00:05
91,Kahdhoo,0,05:48,17:52,04:57,73%,30°C,fine,1.1 mm,E 09 mph,-,2019-10-27 12:00:11,2019-10-27 12:00:11
92,Kahdhoo,0,05:48,17:52,04:57,80%,28°C,fine,1.1 mm,NE 06 mph,-,2019-10-28 00:00:05,2019-10-28 00:00:05
93,Kahdhoo,0,05:48,17:52,05:51,74%,30°C,fine,0.3 mm,ENE 06 mph,-,2019-10-28 12:00:09,2019-10-28 12:00:09
94,Kahdhoo,0,05:48,17:52,06:46,87%,27°C,fine,0.3 mm,VARIABLE 02 mph,-,2019-10-29 00:00:05,2019-10-29 00:00:05
95,Kahdhoo,0,05:48,17:51,07:41,89%,26°C,cloudy,0.3 mm,SSW 05 mph,-,2019-10-30 00:00:10,2019-10-30 00:00:10
96,Kahdhoo,0,05:48,17:51,07:41,73%,30°C,cloudy,6.2 mm,S 09 mph,-,2019-10-30 12:00:04,2019-10-30 12:00:04
97,Kahdhoo,0,05:48,17:51,07:41,80%,29°C,cloudy,1.3 mm,ESE 05 mph,-,2019-10-31 12:00:04,2019-10-31 12:00:04
98,Kahdhoo,0,05:48,17:51,09:33,95%,25°C,slight rain,1.3 mm,CALM,-,2019-11-01 00:00:05,2019-11-01 00:00:05
99,Kahdhoo,0,05:48,17:51,09:33,77%,30°C,fine,29.5 mm,ENE 05 mph,-,2019-11-01 12:00:04,2019-11-01 12:00:04
100,Kahdhoo,0,05:48,17:51,09:33,94%,26°C,slight shower,29.5 mm,VARIABLE 01 mph,-,2019-11-02 00:00:04,2019-11-02 00:00:04
101,Kahdhoo,0,05:48,17:51,10:27,72%,31°C,fine,2.4 mm,E 05 mph,-,2019-11-02 12:00:06,2019-11-02 12:00:06
102,Kahdhoo,0,05:48,17:51,10:27,93%,26°C,fine,2.4 mm,VARIABLE 01 mph,-,2019-11-03 00:00:04,2019-11-03 00:00:04
103,Kahdhoo,0,05:48,17:51,11:19,90%,27°C,cloudy,2.4 mm,CALM,-,2019-11-03 12:00:05,2019-11-03 12:00:05
104,Kahdhoo,0,05:48,17:51,12:09,90%,26°C,slight shower,2.4 mm,VARIABLE 02 mph,-,2019-11-04 00:00:05,2019-11-04 00:00:05
105,Kahdhoo,0,05:48,17:51,12:09,85%,58°C,cloudy,27.4 mm,VARIABLE 02 mph,-,2019-11-04 12:00:05,2019-11-04 12:00:05
106,Kahdhoo,0,05:48,17:51,12:55,95%,26°C,partly cloudy,27.4 mm,CALM,-,2019-11-05 00:00:05,2019-11-05 00:00:05
107,Kahdhoo,0,05:48,17:51,12:55,77%,29°C,partly cloudy,NIL,SW 05 mph,-,2019-11-05 12:00:08,2019-11-05 12:00:08
108,Kahdhoo,0,05:48,17:51,12:55,80%,27°C,cloudy,NIL,W 05 mph,-,2019-11-06 00:00:09,2019-11-06 00:00:09
109,Kahdhoo,0,05:48,17:51,13:39,79%,29°C,cloudy,22.0 mm,W 05 mph,-,2019-11-06 12:00:11,2019-11-06 12:00:11
110,Kahdhoo,0,05:48,17:51,14:21,94%,26°C,slight shower,22.0 mm,SW 08 mph,-,2019-11-07 00:00:06,2019-11-07 00:00:06
111,Kahdhoo,0,05:48,17:51,14:21,75%,30°C,cloudy,2.6 mm,W 06 mph,-,2019-11-07 12:00:04,2019-11-07 12:00:04
112,Kahdhoo,0,05:48,17:51,15:02,74%,31°C,partly cloudy,6.5 mm,SW 10 mph,-,2019-11-08 12:00:05,2019-11-08 12:00:05
113,Kahdhoo,0,05:48,17:51,15:02,91%,27°C,partly cloudy,6.5 mm,SSW 03 mph,-,2019-11-09 00:00:05,2019-11-09 00:00:05
114,Kahdhoo,0,05:48,17:51,15:43,83%,29°C,cloudy,14.5 mm,S 05 mph,-,2019-11-09 12:00:06,2019-11-09 12:00:06
115,Kahdhoo,0,05:48,17:51,16:24,97%,25°C,partly cloudy,14.5 mm,VARIABLE 01 mph,-,2019-11-10 00:00:05,2019-11-10 00:00:05
116,Kahdhoo,0,05:48,17:51,16:24,73%,31°C,fine,14.5 mm,S 07 mph,-,2019-11-10 12:00:05,2019-11-10 12:00:05
117,Kahdhoo,0,05:48,17:51,17:06,72%,31°C,fine,14.5 mm,S 06 mph,-,2019-11-11 12:00:05,2019-11-11 12:00:05
118,Kahdhoo,0,05:48,17:51,17:06,80%,28°C,fine,14.5 mm,E 03 mph,-,2019-11-12 00:00:10,2019-11-12 00:00:10
119,Kahdhoo,0,05:48,17:51,17:51,73%,31°C,fine,1.9 mm,E 06 mph,-,2019-11-12 12:00:06,2019-11-12 12:00:06
120,Kahdhoo,0,05:50,17:53,01:02,78%,29°C,fine,34.5 mm,SE 03 mph,-,2019-11-21 17:10:37,2019-11-21 17:10:37
121,Kahdhoo,0,05:50,17:53,01:02,80%,28°C,fine,34.5 mm,E 05 mph,-,2019-11-22 00:00:10,2019-11-22 00:00:10
122,Kahdhoo,0,05:51,17:53,01:55,72%,31°C,fine,34.5 mm,E 05 mph,-,2019-11-22 12:00:05,2019-11-22 12:00:05
123,Kahdhoo,0,05:51,17:53,01:55,83%,28°C,fine,34.5 mm,VARIABLE 02 mph,-,2019-11-23 00:00:05,2019-11-23 00:00:05
124,Kahdhoo,0,05:51,17:53,02:47,72%,30°C,fine,2.8 mm,E 06 mph,-,2019-11-23 12:00:06,2019-11-23 12:00:06
125,Kahdhoo,0,05:51,17:53,02:47,84%,28°C,fine,2.8 mm,ESE 07 mph,-,2019-11-24 00:00:06,2019-11-24 00:00:06
126,Kahdhoo,0,05:51,17:53,03:38,85%,28°C,fine,2.8 mm,ESE 06 mph,-,2019-11-24 00:10:05,2019-11-24 00:10:05
127,Kahdhoo,0,05:51,17:54,04:31,84%,28°C,fine,0.1 mm,ESE 06 mph,-,2019-11-25 00:00:09,2019-11-25 00:00:09
128,Kahdhoo,0,05:51,17:54,04:31,77%,30°C,fine,3.2 mm,E 08 mph,-,2019-11-25 12:00:05,2019-11-25 12:00:05
129,Kahdhoo,0,05:51,17:54,04:31,80%,29°C,fine,3.2 mm,E 08 mph,-,2019-11-26 00:00:05,2019-11-26 00:00:05
130,Kahdhoo,0,05:52,17:54,05:25,98%,26°C,slight shower,0.2 mm,E 05 mph,-,2019-11-26 12:00:10,2019-11-26 12:00:10
131,Kahdhoo,0,05:52,17:54,05:25,93%,27°C,fine,0.2 mm,NNE 03 mph,-,2019-11-27 00:00:10,2019-11-27 00:00:10
132,Kahdhoo,0,05:52,17:54,06:21,87%,29°C,fine,44.4 mm,ESE 06 mph,-,2019-11-27 12:00:04,2019-11-27 12:00:04
133,Kahdhoo,0,05:53,17:55,07:17,87%,27°C,cloudy,44.4 mm,E 05 mph,-,2019-11-28 00:00:05,2019-11-28 00:00:05
134,Kahdhoo,0,05:53,17:55,07:17,84%,29°C,cloudy,13.7 mm,NE 05 mph,-,2019-11-28 12:00:07,2019-11-28 12:00:07
135,Kahdhoo,0,05:53,17:55,08:14,97%,25°C,cloudy,13.7 mm,VARIABLE 01 mph,-,2019-11-29 00:00:11,2019-11-29 00:00:11
136,Kahdhoo,0,05:53,17:55,08:14,93%,26°C,slight rain,60.9 mm,N 06 mph,-,2019-11-29 12:00:06,2019-11-29 12:00:06
137,Kahdhoo,0,05:53,17:55,08:14,95%,26°C,cloudy,60.9 mm,SSW 07 mph,-,2019-11-30 00:00:10,2019-11-30 00:00:10
138,Kahdhoo,0,05:53,17:55,09:08,94%,27°C,fine,27.8 mm,SW 03 mph,-,2019-11-30 12:00:09,2019-11-30 12:00:09
139,Kahdhoo,0,05:53,17:55,09:08,97%,25°C,cloudy,27.8 mm,CALM,-,2019-12-01 00:00:06,2019-12-01 00:00:06
140,Kahdhoo,0,05:54,17:56,10:00,81%,29°C,fine,27.8 mm,S 06 mph,-,2019-12-01 12:00:05,2019-12-01 12:00:05
141,Kahdhoo,0,05:54,17:56,10:00,82%,28°C,cloudy,27.8 mm,SSE 06 mph,-,2019-12-02 00:00:08,2019-12-02 00:00:08
142,Kahdhoo,0,05:54,17:56,10:48,75%,31°C,fine,2.4 mm,ESE 06 mph,-,2019-12-02 12:00:05,2019-12-02 12:00:05
143,Kahdhoo,0,05:54,17:56,10:48,89%,27°C,partly cloudy,2.4 mm,SE 06 mph,-,2019-12-03 00:00:04,2019-12-03 00:00:04
144,Kahdhoo,0,05:54,17:56,11:34,72%,31°C,fine,TRACE,E 06 mph,-,2019-12-03 12:00:04,2019-12-03 12:00:04
145,Kahdhoo,0,05:55,17:57,12:17,96%,25°C,cloudy,TRACE,VARIABLE 01 mph,-,2019-12-04 00:00:06,2019-12-04 00:00:06
146,Kahdhoo,0,05:55,17:57,12:17,78%,30°C,fine,7.7 mm,VARIABLE 02 mph,-,2019-12-04 12:00:05,2019-12-04 12:00:05
147,Kahdhoo,0,05:55,17:57,12:58,83%,28°C,cloudy,7.7 mm,NE 08 mph,-,2019-12-05 00:00:09,2019-12-05 00:00:09
148,Kahdhoo,0,05:55,17:57,12:58,72%,31°C,partly cloudy,0.1 mm,NE 08 mph,-,2019-12-05 12:00:06,2019-12-05 12:00:06
149,Kahdhoo,0,05:56,17:57,13:38,80%,28°C,lightning,0.1 mm,E 03 mph,-,2019-12-06 00:00:04,2019-12-06 00:00:04
150,Kahdhoo,0,05:56,17:57,13:38,86%,28°C,slight shower,0.2 mm,SE 08 mph,-,2019-12-06 12:00:09,2019-12-06 12:00:09
151,Kahdhoo,0,05:56,17:57,13:38,80%,28°C,fine,0.2 mm,ENE 06 mph,-,2019-12-07 00:00:05,2019-12-07 00:00:05
152,Kahdhoo,0,05:56,17:58,14:19,84%,29°C,fine,9.3 mm,ENE 03 mph,-,2019-12-07 12:00:10,2019-12-07 12:00:10
153,Kahdhoo,0,05:57,17:58,15:01,75%,31°C,fine,4.5 mm,ENE 06 mph,-,2019-12-08 12:00:05,2019-12-08 12:00:05
154,Kahdhoo,0,05:57,17:58,15:01,81%,29°C,fine,4.5 mm,NE 12 mph,-,2019-12-09 00:00:04,2019-12-09 00:00:04
155,Kahdhoo,0,05:57,17:59,15:44,76%,31°C,partly cloudy,NIL,ENE 09 mph,-,2019-12-09 12:00:06,2019-12-09 12:00:06
156,Kahdhoo,0,05:57,17:59,16:31,96%,26°C,thundershower,NIL,ESE 05 mph,-,2019-12-10 00:00:07,2019-12-10 00:00:07
157,Kahdhoo,0,05:57,17:59,16:31,80%,29°C,cloudy,20.8 mm,SE 05 mph,-,2019-12-10 12:00:06,2019-12-10 12:00:06
158,Kahdhoo,0,05:58,18:00,17:21,90%,27°C,cloudy,20.8 mm,E 03 mph,-,2019-12-11 00:00:05,2019-12-11 00:00:05
159,Kahdhoo,0,05:58,18:00,17:21,84%,27°C,cloudy,TRACE,N 03 mph,-,2019-12-12 00:00:10,2019-12-12 00:00:10
160,Kahdhoo,0,05:58,18:00,18:15,72%,30°C,partly cloudy,6.1 mm,NNW 05 mph,-,2019-12-12 12:00:04,2019-12-12 12:00:04
161,Kahdhoo,0,05:59,18:00,19:11,86%,27°C,fine,6.1 mm,N 05 mph,-,2019-12-13 00:00:05,2019-12-13 00:00:05
162,Kahdhoo,0,05:59,18:00,19:11,80%,28°C,cloudy,12.4 mm,NE 09 mph,-,2019-12-13 12:00:11,2019-12-13 12:00:11
163,Kahdhoo,0,05:59,18:00,19:11,97%,25°C,slight rain,12.4 mm,NNE 05 mph,-,2019-12-14 00:00:10,2019-12-14 00:00:10
164,Kahdhoo,0,05:59,18:01,20:10,78%,29°C,cloudy,12.4 mm,WNW 03 mph,-,2019-12-14 12:00:10,2019-12-14 12:00:10
165,Kahdhoo,0,05:59,18:01,20:10,90%,27°C,partly cloudy,12.4 mm,VARIABLE 02 mph,-,2019-12-15 00:00:10,2019-12-15 00:00:10
166,Kahdhoo,0,06:00,18:01,21:08,78%,30°C,cloudy,5.0 mm,ESE 06 mph,-,2019-12-15 12:00:06,2019-12-15 12:00:06
167,Kahdhoo,0,06:00,18:02,22:05,90%,26°C,cloudy,5.0 mm,VARIABLE 02 mph,-,2019-12-16 00:00:03,2019-12-16 00:00:03
168,Kahdhoo,0,06:00,18:02,22:05,92%,26°C,slight rain,12.3 mm,ESE 05 mph,-,2019-12-16 12:00:05,2019-12-16 12:00:05
169,Kahdhoo,0,06:00,18:02,22:05,97%,25°C,slight shower,12.3 mm,CALM,-,2019-12-17 00:00:06,2019-12-17 00:00:06
170,Kahdhoo,0,06:01,18:02,22:59,71%,30°C,partly cloudy,32.4 mm,ENE 07 mph,-,2019-12-17 12:00:05,2019-12-17 12:00:05
171,Kahdhoo,0,06:01,18:03,23:52,83%,28°C,partly cloudy,32.4 mm,NE 11 mph,-,2019-12-18 00:00:07,2019-12-18 00:00:07
172,Kahdhoo,0,06:01,18:03,23:52,77%,30°C,partly cloudy,0.1 mm,E 10 mph,-,2019-12-18 12:00:10,2019-12-18 12:00:10
173,Kahdhoo,0,06:02,18:03,00:00,80%,28°C,lightning,0.1 mm,ESE 07 mph,-,2019-12-19 00:00:06,2019-12-19 00:00:06
174,Kahdhoo,0,06:02,18:03,00:00,77%,30°C,fine,7.9 mm,ESE 07 mph,-,2019-12-19 12:00:05,2019-12-19 12:00:05
175,Kahdhoo,0,06:02,18:03,00:00,89%,27°C,fine,7.9 mm,SSE 08 mph,-,2019-12-20 00:00:10,2019-12-20 00:00:10
