id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
87,Kaadehdhoo,0,05:49,17:55,04:06,86%,27°C,lightning,2.2 mm,ESE 06 mph,-,2019-10-27 00:00:10,2019-10-27 00:00:10
88,Kaadehdhoo,0,05:49,17:55,05:00,77%,30°C,fine,1.6 mm,ESE 08 mph,-,2019-10-27 12:00:11,2019-10-27 12:00:11
89,Kaadehdhoo,0,05:49,17:55,05:00,88%,28°C,partly cloudy,1.6 mm,E 05 mph,-,2019-10-28 00:00:11,2019-10-28 00:00:11
90,Kaadehdhoo,0,05:49,17:55,05:53,95%,26°C,fine,NIL,VARIABLE 02 mph,-,2019-10-29 00:00:06,2019-10-29 00:00:06
91,Kaadehdhoo,0,05:49,17:55,06:47,77%,30°C,partly cloudy,NIL,S 07 mph,-,2019-10-29 12:00:11,2019-10-29 12:00:11
92,Kaadehdhoo,0,05:49,17:55,06:47,92%,25°C,cloudy,NIL,NE 03 mph,-,2019-10-30 00:00:04,2019-10-30 00:00:04
93,Kaadehdhoo,0,05:48,17:55,07:42,79%,29°C,cloudy,NIL,S 06 mph,-,2019-10-30 12:00:10,2019-10-30 12:00:10
94,Kaadehdhoo,0,05:48,17:55,07:42,74%,30°C,fine,NIL,SE 05 mph,-,2019-10-31 12:00:09,2019-10-31 12:00:09
95,Kaadehdhoo,0,05:48,17:55,07:42,83%,28°C,partly cloudy,NIL,SE 05 mph,-,2019-11-01 00:00:04,2019-11-01 00:00:04
96,Kaadehdhoo,0,05:48,17:55,09:33,73%,31°C,partly cloudy,3.2 mm,ESE 06 mph,-,2019-11-01 12:00:10,2019-11-01 12:00:10
97,Kaadehdhoo,0,05:48,17:55,09:33,97%,25°C,lightning,3.2 mm,CALM,-,2019-11-02 00:00:10,2019-11-02 00:00:10
98,Kaadehdhoo,0,05:48,17:55,09:33,77%,30°C,fine,2.5 mm,VARIABLE 02 mph,-,2019-11-02 12:00:11,2019-11-02 12:00:11
