id,stationname,hastide,sunrise,sunset,moonrise,humidity,temperature,description,rainamount,wind,sunshine,created_at,updated_at
67,Hanimadhoo,1,05:51,17:54,17:45,81%,29°C,cloudy,63.1 mm,WNW 03 mph,4:0,2019-10-13 12:00:06,2019-10-13 12:00:06
68,Hanimadhoo,1,05:51,17:54,17:45,97%,25°C,fine,63.1 mm,CALM,3:36,2019-10-14 00:00:04,2019-10-14 00:00:04
69,Hanimadhoo,1,05:51,17:53,18:25,74%,30°C,fine,TRACE,WNW 05 mph,3:36,2019-10-14 12:00:06,2019-10-14 12:00:06
70,Hanimadhoo,1,05:51,17:53,18:25,84%,28°C,fine,TRACE,WSW 05 mph,10:06,2019-10-15 00:00:06,2019-10-15 00:00:06
71,Hanimadhoo,1,05:51,17:53,18:25,98%,23°C,slight shower,NIL,E 06 mph,10:06,2019-10-15 12:00:05,2019-10-15 12:00:05
72,Hanimadhoo,1,05:51,17:53,18:25,82%,28°C,lightning,NIL,SSE 06 mph,3:0,2019-10-16 00:00:04,2019-10-16 00:00:04
73,Hanimadhoo,1,05:50,17:53,19:52,75%,30°C,cloudy,13.6 mm,NW 03 mph,3:0,2019-10-16 12:00:07,2019-10-16 12:00:07
74,Hanimadhoo,1,05:50,17:53,19:52,95%,26°C,slight rain,13.6 mm,E 05 mph,2:06,2019-10-17 00:00:05,2019-10-17 00:00:05
75,Hanimadhoo,1,05:50,17:52,20:39,75%,30°C,cloudy,44.2 mm,ESE 07 mph,2:06,2019-10-17 12:00:11,2019-10-17 12:00:11
76,Hanimadhoo,1,05:50,17:52,20:39,83%,28°C,partly cloudy,44.2 mm,S 12 mph,8:54,2019-10-18 00:00:06,2019-10-18 00:00:06
77,Hanimadhoo,1,05:50,17:52,21:30,94%,27°C,slight shower,14.6 mm,SW 12 mph,8:54,2019-10-18 12:00:11,2019-10-18 12:00:11
78,Hanimadhoo,1,05:50,17:52,21:30,91%,26°C,cloudy,14.6 mm,SW 06 mph,0:54,2019-10-19 00:00:09,2019-10-19 00:00:09
79,Hanimadhoo,1,05:50,17:51,23:19,81%,30°C,partly cloudy,11.6 mm,SSE 08 mph,0:54,2019-10-19 12:00:11,2019-10-19 12:00:11
80,Hanimadhoo,1,05:50,17:51,23:19,80%,29°C,partly cloudy,11.6 mm,S 10 mph,8:54,2019-10-20 00:00:06,2019-10-20 00:00:06
81,Hanimadhoo,1,05:50,17:51,23:19,84%,29°C,slight rain,TRACE,W 09 mph,8:54,2019-10-20 12:00:10,2019-10-20 12:00:10
82,Hanimadhoo,1,05:50,17:51,23:19,87%,27°C,slight rain,TRACE,S 06 mph,1:24,2019-10-21 00:00:04,2019-10-21 00:00:04
83,Hanimadhoo,1,05:50,17:51,00:00,92%,26°C,slight shower,63.5 mm,WSW 12 mph,1:24,2019-10-22 00:00:05,2019-10-22 00:00:05
84,Hanimadhoo,1,05:50,17:51,00:17,78%,30°C,cloudy,7.2 mm,SSW 07 mph,1:24,2019-10-22 12:00:11,2019-10-22 12:00:11
85,Hanimadhoo,1,05:50,17:51,00:17,82%,29°C,cloudy,7.2 mm,SSE 06 mph,6:36,2019-10-23 00:00:18,2019-10-23 00:00:18
86,Hanimadhoo,1,05:50,17:51,01:15,87%,29°C,slight shower,NIL,S 09 mph,6:36,2019-10-23 12:00:05,2019-10-23 12:00:05
87,Hanimadhoo,1,05:50,17:51,01:15,88%,27°C,slight rain,NIL,WSW 08 mph,1:06,2019-10-24 00:00:05,2019-10-24 00:00:05
88,Hanimadhoo,1,05:50,17:50,02:12,72%,31°C,cloudy,23.0 mm,SSW 14 mph,1:06,2019-10-24 12:00:05,2019-10-24 12:00:05
89,Hanimadhoo,1,05:50,17:50,02:12,80%,29°C,fine,23.0 mm,WSW 08 mph,5:36,2019-10-25 00:00:05,2019-10-25 00:00:05
90,Hanimadhoo,1,05:50,17:50,03:08,75%,30°C,cloudy,0.8 mm,SW 10 mph,5:36,2019-10-25 12:00:09,2019-10-25 12:00:09
91,Hanimadhoo,1,05:50,17:50,03:08,89%,26°C,slight rain,0.8 mm,SW 08 mph,6:36,2019-10-26 00:00:05,2019-10-26 00:00:05
92,Hanimadhoo,1,05:50,17:50,04:03,69%,31°C,partly cloudy,8.8 mm,SSW 13 mph,6:36,2019-10-26 12:00:09,2019-10-26 12:00:09
93,Hanimadhoo,1,05:50,17:50,04:03,75%,28°C,lightning,8.8 mm,SSE 07 mph,8:54,2019-10-27 00:00:05,2019-10-27 00:00:05
94,Hanimadhoo,1,05:50,17:50,04:58,75%,31°C,cloudy,TRACE,SE 06 mph,8:54,2019-10-27 12:00:06,2019-10-27 12:00:06
95,Hanimadhoo,1,05:50,17:50,04:58,91%,27°C,cloudy,TRACE,NNE 05 mph,10:24,2019-10-28 00:00:10,2019-10-28 00:00:10
96,Hanimadhoo,1,05:50,17:50,05:53,76%,31°C,fine,0.6 mm,NE 10 mph,10:24,2019-10-28 12:00:07,2019-10-28 12:00:07
97,Hanimadhoo,1,05:50,17:50,05:53,81%,29°C,partly cloudy,0.6 mm,NW 06 mph,9:18,2019-10-29 00:00:10,2019-10-29 00:00:10
98,Hanimadhoo,1,05:50,17:49,06:48,86%,27°C,cloudy,0.5 mm,N 06 mph,9:18,2019-10-29 12:00:06,2019-10-29 12:00:06
99,Hanimadhoo,1,05:50,17:49,06:48,94%,26°C,slight rain,0.5 mm,WNW 10 mph,0:0,2019-10-30 00:00:05,2019-10-30 00:00:05
100,Hanimadhoo,1,05:50,17:49,07:44,90%,26°C,slight rain,35.3 mm,WNW 16 mph,0:0,2019-10-30 12:00:05,2019-10-30 12:00:05
101,Hanimadhoo,1,05:50,17:49,07:44,81%,27°C,cloudy,6.0 mm,WSW 13 mph,0:0,2019-10-31 12:00:05,2019-10-31 12:00:05
